band,wavelength,throughput_frac
tianyu,4006.020927, 0.6028548846710838
tianyu,4021.297128, 0.6033417054682088
tianyu,4035.005857,0.603721157
tianyu,4049.192798, 0.6041849930207662
tianyu,4062.742124, 0.6045643970008155
tianyu,4075.335027, 0.6049166821301051
tianyu,4088.565545, 0.6053606715450514
tianyu,4101.454483, 0.6057140688182188
tianyu,4113.75135, 0.6061180481655278
tianyu,4127.300676, 0.6065867261530754
tianyu,4137.529088, 0.6069646547820767
tianyu,4149.484375, 0.6073899317768642
tianyu,4161.633808,0.607787077
tianyu,4175.121825,0.608256319
tianyu,4191.062208,0.608637132
tianyu,4208.596629, 0.6089618521221833
tianyu,4226.131051, 0.6091390833906768
tianyu,4243.665472, 0.6092157539155887
tianyu,4261.199894, 0.6091985677464914
tianyu,4278.734315, 0.6092433940359359
tianyu,4296.268736, 0.6092446440031617
tianyu,4313.803158, 0.6092190777720993
tianyu,4331.337579, 0.6091801034418926
tianyu,4348.872001, 0.6091444811364719
tianyu,4366.406422, 0.6091272949673746
tianyu,4383.940843, 0.6093346944589424
tianyu,4400.026139, 0.6097063783753709
tianyu,4407.851418, 0.6101837081133178
tianyu,4416.352956, 0.6106471557426397
tianyu,4423.614686,0.611202112
tianyu,4430.765719, 0.6116602809293042
tianyu,4435.946343, 0.6121256674944854
tianyu,4442.034684, 0.6126478767579613
tianyu,4447.702376, 0.6130445549329689
tianyu,4451.953145, 0.6135305218466403
tianyu,4454.078529, 0.6139835894664357
tianyu,4460.653937, 0.6144388022666826
tianyu,4466.299489, 0.6148842050541946
tianyu,4470.284585,0.615321966
tianyu,4473.804753, 0.6157197942072737
tianyu,4477.761384, 0.6161410954721329
tianyu,4483.368983, 0.6166229324988405
tianyu,4487.325614, 0.6170152626923345
tianyu,4492.563168, 0.6175102773790574
tianyu,4495.523525, 0.6178578583057353
tianyu,4501.501169, 0.6183324435733886
tianyu,4507.744486, 0.6188080466156078
tianyu,4510.666889, 0.6192494186500425
tianyu,4518.017177, 0.6197562338042408
tianyu,4522.622176, 0.6202275602567143
tianyu,4528.360714, 0.6206556659332022
tianyu,4535.664308, 0.6212390759883173
tianyu,4541.042175, 0.6218840238665319
tianyu,4545.735732, 0.6223665781153795
tianyu,4550.517847,0.62277897
tianyu,4555.299962, 0.6232051899298149
tianyu,4559.512777, 0.6236584189918338
tianyu,4563.270153, 0.6240661174736862
tianyu,4568.166128, 0.6244957360716054
tianyu,4575.048325, 0.6249558869843267
tianyu,4581.601594, 0.6253698092298869
tianyu,4588.992135, 0.6258401102788865
tianyu,4599.136015,0.62642144
tianyu,4609.019053, 0.6268888074299598
tianyu,4624.640628,0.627294023
tianyu,4642.17505, 0.6275667868364546
tianyu,4659.709471,0.627745694
tianyu,4677.243893,0.627894433
tianyu,4694.778314, 0.6280783684932185
tianyu,4712.312735, 0.6283243162698258
tianyu,4729.847157, 0.6285769680960053
tianyu,4747.381578, 0.6288289016311591
tianyu,4764.916, 0.6291057359218665
tianyu,4782.450421, 0.6294019640702645
tianyu,4799.984842, 0.6297417685408812
tianyu,4816.722245, 0.6301229898832948
tianyu,4831.865609, 0.6305071178005155
tianyu,4846.211953, 0.6308795888637542
tianyu,4860.558298, 0.6312930291188223
tianyu,4874.904643, 0.6316593548032866
tianyu,4889.250988, 0.6320646012199889
tianyu,4903.597333, 0.6324493630407764
tianyu,4918.740696, 0.6328564337054214
tianyu,4932.290022, 0.6332639527933638
tianyu,4945.839348, 0.6336628171395321
tianyu,4958.591654, 0.6340427526001686
tianyu,4973.735018, 0.6344387615830198
tianyu,4991.26944,0.634813762
tianyu,5008.803861, 0.6350781462268206
tianyu,5026.338282, 0.6352654335696721
tianyu,5043.872704, 0.6353622162433004
tianyu,5061.407125, 0.6354355347434262
tianyu,5078.941547, 0.6355021491939801
tianyu,5096.475968, 0.6356039599047874
tianyu,5114.010389, 0.6357124746651668
tianyu,5131.544811, 0.6358578616981927
tianyu,5149.079232, 0.6359546443718209
tianyu,5166.613654, 0.6360581310950212
tianyu,5184.148075, 0.6361616178182216
tianyu,5201.682496, 0.6362416403679195
tianyu,5219.216918, 0.6363468031035129
tianyu,5236.751339, 0.6364519658391062
tianyu,5254.285761, 0.6365437204755554
tianyu,5271.820182, 0.6366740233970442
tianyu,5289.354604, 0.6368127063804979
tianyu,5306.889025, 0.6369167517744959
tianyu,5324.423446, 0.6370409093172102
tianyu,5341.957868, 0.6371438373696129
tianyu,5359.492289, 0.6372496705101635
tianyu,5377.026711, 0.6373698056231345
tianyu,5394.561132, 0.6374876581668465
tianyu,5412.095553, 0.6376058299510142
tianyu,5429.629975, 0.6377528929964331
tianyu,5447.164396,0.637896604
tianyu,5464.698818, 0.6380245605212045
tianyu,5482.233239, 0.6381153095502179
tianyu,5499.76766, 0.6381489624237089
tianyu,5517.302082, 0.6381530057449232
tianyu,5534.836503, 0.6380704550924978
tianyu,5552.370925, 0.6379275679939237
tianyu,5569.905346, 0.6377578646970612
tianyu,5587.439768, 0.6375915134249848
tianyu,5604.974189, 0.6374620344255548
tianyu,5622.50861, 0.6373643996615923
tianyu,5640.043032, 0.6372483287613065
tianyu,5657.577453, 0.6371255538114486
tianyu,5675.111875, 0.6370212149979141
tianyu,5692.646296, 0.6369202282091655
tianyu,5710.180717, 0.6367873971849495
tianyu,5727.715139, 0.6366813823590219
tianyu,5745.24956, 0.6365669874711292
tianyu,5762.783982, 0.6364458885336644
tianyu,5780.318403, 0.6362996494103041
tianyu,5797.852824, 0.6362020146463416
tianyu,5815.387246, 0.6361295200682745
tianyu,5832.921667, 0.6360151251803817
tianyu,5850.456089, 0.6359107863668472
tianyu,5867.99051, 0.6357980674913475
tianyu,5885.524931, 0.6356468003308082
tianyu,5903.059353,0.635502237
tianyu,5920.593774,0.635438123
tianyu,5938.128196, 0.6353388119273835
tianyu,5955.662617, 0.6352227410270976
tianyu,5973.197039, 0.6351334863251002
tianyu,5990.73146,0.635018253
tianyu,6008.265881, 0.6348560921899171
tianyu,6025.800303, 0.6346847128806616
tianyu,6043.334724, 0.6345217136333712
tianyu,6060.869146, 0.6343386022373645
tianyu,6078.403567, 0.6341655469157159
tianyu,6095.937988, 0.6340310398791069
tianyu,6113.47241, 0.6338747446813886
tianyu,6131.006831, 0.6336799011986307
tianyu,6148.541253, 0.6334884097406589
tianyu,6166.075674, 0.6333187064437963
tianyu,6183.610095, 0.6331707913080431
tianyu,6201.144517, 0.6330228761722899
tianyu,6218.678938, 0.6328766370489297
tianyu,6236.21336, 0.6327086097644602
tianyu,6253.747781, 0.6325003581825581
tianyu,6271.282202, 0.6323289788733026
tianyu,6288.816624, 0.6322196120225889
tianyu,6306.351045, 0.6320566127752986
tianyu,6323.885467, 0.6318768534040778
tianyu,6341.419888, 0.6317138541567875
tianyu,6358.95431,0.631552531
tianyu,6376.488731, 0.6313576874391322
tianyu,6394.023152,0.631213124
tianyu,6411.557574, 0.6310367169817304
tianyu,6429.091995, 0.6308720417220469
tianyu,6446.626417, 0.6307174225367217
tianyu,6464.160838, 0.6305510712646452
tianyu,6481.695259, 0.6303964520793199
tianyu,6499.229681, 0.6302306594780411
tianyu,6516.764102, 0.6300922417458483
tianyu,6534.298524, 0.6299795228703486
tianyu,6551.832945, 0.6298684800072419
tianyu,6569.367366, 0.6297658172061004
tianyu,6586.901788, 0.6296329861818843
tianyu,6604.436209,0.62954876
tianyu,6621.970631, 0.6293891122945616
tianyu,6639.505052, 0.6292948295553852
tianyu,6657.039474, 0.6291938427666367
tianyu,6674.573895, 0.6290677157919927
tianyu,6692.108316, 0.6289700810280303
tianyu,6709.642738, 0.6288372500038143
tianyu,6727.177159,0.628758051
tianyu,6744.711581, 0.6286168402899939
tianyu,6762.246002, 0.6285091494516732
tianyu,6779.780423, 0.6284198947496759
tianyu,6797.314845,0.628298796
tianyu,6814.849266, 0.6281827249119253
tianyu,6832.383688, 0.6280565979372814
tianyu,6849.918109, 0.6279841033592142
tianyu,6867.45253, 0.6278428922730331
tianyu,6884.986952, 0.6276832450505287
tianyu,6902.521373, 0.6275453859891337
tianyu,6920.055795, 0.6274058509153456
tianyu,6937.590216, 0.6272478797052342
tianyu,6955.124637, 0.6270982885570879
tianyu,6972.659059,0.626973838
tianyu,6990.19348, 0.6269449193389885
tianyu,7007.727902, 0.6270165618267215
tianyu,7025.262323, 0.6271921170828217
tianyu,7042.796745, 0.6274430928966082
tianyu,7060.331166, 0.6277443490821853
tianyu,7077.865587, 0.6280338731810112
tianyu,7095.400009, 0.6283150172178721
tianyu,7112.93443, 0.6285844291679817
tianyu,7130.468852, 0.6288773052915938
tianyu,7148.003273, 0.6291014649070917
tianyu,7165.537694,0.629335681
tianyu,7183.072116, 0.6295698962868042
tianyu,7200.606537, 0.6298208721005906
tianyu,7218.140959,0.630080228
tianyu,7235.67538, 0.6303328798025215
tianyu,7253.209801, 0.6305838556163079
tianyu,7270.744223, 0.6308303620637129
tianyu,7288.278644, 0.6310673711075574
tianyu,7305.813066, 0.6313216989461299
tianyu,7323.347487, 0.6315712381778651
tianyu,7340.881908, 0.6318236505737027
tianyu,7358.41633,0.632071274
tianyu,7375.950751, 0.6323241656192243
tianyu,7393.485173, 0.6325778549768851
tianyu,7411.019594, 0.6328208497792762
tianyu,7428.554016, 0.6330701495806696
tianyu,7446.088437, 0.6333043652705258
tianyu,7463.622858, 0.6335788052578145
tianyu,7481.15728, 0.6338314570839939
tianyu,7498.691701, 0.6340757288482083
tianyu,7516.226123, 0.6343300566867807
tianyu,7533.760544, 0.6345860605377461
tianyu,7551.294965,0.634836318
tianyu,7568.829387, 0.6350997442520702
tianyu,7586.363808, 0.6353691562021798
tianyu,7603.89823, 0.6355882877804988
tianyu,7621.432651, 0.6358627277677875
tianyu,7638.967072, 0.6361304637055042
tianyu,7656.501494, 0.6363780874945045
tianyu,7674.035915,0.636627387
tianyu,7691.570337, 0.6368750110848983
tianyu,7709.104758, 0.6371460990474009
tianyu,7726.63918, 0.6373903708116153
tianyu,7744.173601, 0.6375994463155761
tianyu,7761.708022, 0.6378336620054322
tianyu,7779.242444, 0.6381013979431489
tianyu,7796.776865, 0.6383741619180446
tianyu,7814.311287,0.638625138
tianyu,7831.845708, 0.6388627054464733
tianyu,7849.380129, 0.6391002731611154
tianyu,7866.914551, 0.6393914732723345
tianyu,7884.448972, 0.6396625612348371
tianyu,7901.983394, 0.6399370012221258
