observation_order,target_name,ra,dec,azi,alt,flat_level,exposure_s,delay_between_frame_s,n_max_frames,jd_utc_begin,jd_utc_end,obs_process_id,astrometry_solve,use_subpixel,last_of_this_obs
0,bias,250.274375,60.6062,,,,0.0,0,20,2460819.0611552778 ,2460819.32500000 ,,,,
0,flat,250.274375,60.6062,,,10000,30,0,20,2460819.0611552778 ,2460819.32500000 ,,,,
1,V554 Dra,250.274375,60.6062,,,,30,82,198,2460819.0611552778 ,2460819.32500000 ,,,,
